LogTest.txt,
3499376,-22
3501800,-19
3504236,-19
3506664,-15
3509084,-19
3511512,-15
3513936,-19
log,
3567232,-15
3569656,-3
3572088,-22
3574508,-38
3576948,-45
3579372,15
3581796,-15
3584224,-15
3586648,-15
3589080,-11
log,
3637948,-26
3640388,-19
3642796,3
3645220,-3
3647652,-19
3650076,-15
3652516,-11
3654944,-19
3657368,-15
3659788,-7
log,
3707532,-11
3709972,-19
3712404,-19
3714840,-11
3717264,-7
3719676,-7
3722104,-15
3724532,-15
3726956,-11
3729392,-11
log,
3778256,-15
3780692,-15
3783116,-15
3785544,-15
3787976,-15
3790404,-15
3792840,-19
3795264,-19
3797688,-15
3800120,-19
log,
3853408,-15
3855832,-7
3858264,-15
3860696,-15
3863124,-22
3865556,-19
3867984,-19
3870412,-15
3872844,-26
3875260,-19
log,
3924692,-26
3927128,-30
3929564,-30
3931984,-30
3934420,-26
3936852,-30
3939284,-22
3941708,-26
3944136,-22
3946564,-26
log,
3996540,-11
3998984,-11
4001412,-15
4003836,-7
4006276,-11
4008696,-7
4011112,-7
4013540,-11
4015964,-15
4018396,-11
log,
4066700,-42
4069128,-38
4071556,-26
4073980,-30
4076408,-34
4078836,-34
4081260,-34
4083696,-26
4086120,-19
4088540,-30
log,
4141708,-80
4144148,-91
4146584,-76
4149000,-68
4151428,-95
4153856,-91
4156276,-99
4158700,-88
4161120,-88
4163544,-95
log,
4213516,-57
4215948,-42
4218372,-30
4220800,-19
4223244,-45
4225668,-42
4228104,-49
4230528,-45
4232944,-34
4235372,-19
log,
4285356,-61
4287796,-61
4290224,-72
4292660,-61
4295084,-57
4297508,-65
4299936,-68
4302356,-68
4304772,-57
4307200,-53
log,
4357180,-49
4359620,-49
4362040,-42
4364468,-49
4366900,-30
4369328,-42
4371764,-34
4374192,-38
4376620,-57
4379040,-42
log,
4432332,-72
4434752,-68
4437188,-68
4439620,-53
4442048,-53
4444476,-49
4446900,-49
4449328,-53
4451748,-57
4454168,-61
log,
4504168,-61
4506604,-57
4509032,-65
4511456,-61
4513888,-65
4516308,-61
4518736,-61
4521168,-53
4523588,-45
4526012,-53
log,
4575992,-19
4578436,-15
4580860,-22
4583288,-30
4585720,-26
4588144,-22
4590584,-30
4593008,-22
4595424,-34
4597856,-26
log,
4647840,-22
4650276,-19
4652708,-15
4655140,-19
4657564,-11
4659992,-15
4662420,-19
4664840,-19
4667256,-15
4669680,-22
log,
4722868,-15
4725292,-26
4727724,-30
4730160,-22
4732592,-22
4735028,-38
4737444,-38
4739864,-34
4742288,-22
4744708,-26
log,
4794712,19
4797136,22
4799564,30
4801980,26
4804404,42
4806820,53
4809232,45
4811648,42
4814068,42
4816476,38
log,
4860892,57
4863316,65
4865740,61
4868172,68
4870584,65
4873004,76
4875416,65
4877824,68
4880240,72
4882656,68
log,
4927068,84
4929488,84
4931912,84
4934328,76
4936760,80
4939176,76
4941588,76
4944000,80
4946412,76
4948820,84
log,
4996556,88
4998968,80
5001384,80
5003804,80
5006236,84
5008668,84
5011076,84
5013500,84
5015920,80
5018328,76
log,
5062744,111
5065172,103
5067612,103
5070036,99
5072460,111
5074916,114
5077340,99
5079764,122
5082200,118
5084624,114
log,
5133512,153
5135952,157
5138380,168
5140824,176
5143256,180
5145704,168
5148136,172
5150560,172
5152988,183
5155420,172
log,
5205416,214
5207856,222
5210288,226
5212716,229
5215156,233
5217600,233
5220028,229
5222464,229
5224888,222
5227312,229
log,
5280568,287
5283004,272
5285444,264
5287880,275
5290316,287
5292752,275
5295192,283
5297620,283
5300044,295
5302484,283
log,
5352368,306
5354816,318
5357248,310
5359696,314
5362136,314
5364564,314
5367008,314
5369436,318
5371872,325
5374308,318
log,
5424332,341
5426772,337
5429224,318
5431660,314
5434092,360
5436536,344
5438972,321
5441408,329
5443840,375
5446264,348
log,
5496280,352
5498712,348
5501152,356
5503584,364
5506028,341
5508476,344
5510908,348
5513344,348
5515772,341
5518208,356
log,
5571536,352
5573984,356
5576416,348
5578860,348
5581292,344
5583728,344
5586164,356
5588592,352
5591032,348
5593464,348
log,
5643484,364
5645928,367
5648372,360
5650812,356
5653244,360
5655688,364
5658120,352
5660548,360
5662980,352
5665412,341
log,
5715424,352
5717868,352
5720312,360
5722744,375
5725192,367
5727628,367
5730064,344
5732496,337
5734928,367
5737356,375
log,
5787360,367
5789804,364
5792236,360
5794672,360
5797112,383
5799544,387
5801992,379
5804428,375
5806864,383
5809296,410
log,
5862640,383
5865072,371
5867516,367
5869964,364
5872400,367
5874836,383
5877268,383
5879696,383
5882132,375
5884560,371
log,
5934588,371
5937024,364
5939468,371
5941896,383
5944348,387
5946784,375
5949220,371
5951652,375
5954084,375
5956516,371
log,
6006520,375
6008964,383
6011392,379
6013832,375
6016272,371
6018704,375
6021152,375
6023580,371
6026016,375
6028452,371
log,
6078480,352
6080916,356
6083360,367
6085800,360
6088232,364
6090676,375
6093116,375
6095548,379
6097988,383
6100416,367
log,
6153756,383
6156196,371
6158636,375
6161076,371
6163516,383
6165956,383
6168384,383
6170824,387
6173260,367
6175696,371
log,
6225712,360
6228160,341
6230592,364
6233032,356
6235468,375
6237908,371
6240348,367
6242776,356
6245204,348
6247644,348
log,
6297668,375
6300108,360
6302540,360
6304984,360
6307420,367
6309868,364
6312308,364
6314736,360
6317176,356
6319612,356
log,
6369636,367
6372076,364
6374520,364
6376956,360
6379392,364
6381836,364
6384268,367
6386716,371
6389148,360
6391584,367
log,
6444944,383
6447380,383
6449816,383
6452268,375
6454696,375
6457136,375
6459568,371
6461996,375
6464432,371
6466872,371
log,
6516828,360
6519268,360
6521704,371
6524140,364
6526580,367
6529028,356
6531468,360
6533904,360
6536336,360
6538768,352
log,
6588784,352
6591228,356
6593672,352
6596104,360
6598528,348
6600976,356
6603408,352
6605852,360
6608284,348
6610708,344
log,
6660748,321
6663196,318
6665640,318
6668068,318
6670512,321
6672956,318
6675400,318
6677832,310
6680256,306
6682696,314
log,
6736040,291
6738464,287
6740904,310
6743344,298
6745784,287
6748232,287
6750660,295
6753092,287
6755532,279
6757964,295
log,
6808004,283
6810432,275
6812876,272
6815308,268
6817748,279
6820188,279
6822616,272
6825052,283
6827480,283
6829908,268
log,
6879932,241
6882376,241
6884804,229
6887240,226
6889676,229
6892116,222
6894548,218
6896976,218
6899408,226
6901844,226
log,
6951868,183
6954308,168
6956740,130
6959184,168
6961616,172
6964048,157
6966488,157
6968920,137
6971348,157
6973776,145
log,
7027112,68
7029540,84
7031964,57
7034380,84
7036800,61
7039224,68
7041636,72
7044056,57
7046472,65
7048880,61
log,
7093304,95
7095720,42
7098144,26
7100576,45
7102992,84
7105420,72
7107856,61
7110264,15
7112688,34
7115104,84
log,
7159540,145
7161976,149
7164416,160
7166856,157
7169304,141
7171732,145
7174180,164
7176600,164
7179028,160
7181460,168
log,
7231480,91
7233900,91
7236312,95
7238748,103
7241180,103
7243612,107
7246048,107
7248460,91
7250880,-26
7253300,30
log,
7300468,-26
7302884,-49
7305308,38
7307732,-34
7310156,-34
7312584,68
7315012,-99
7317436,-26
7319860,-95
7322280,-80
log,
7374508,-76
7376956,-176
7379396,-160
7381820,-42
7384248,-7
7386664,15
7389088,-30
7391520,-34
7393940,-19
7396368,30
log,
7445748,65
7448168,68
7450592,53
7453028,130
7455448,11
7457868,19
7460268,3
7462676,57
7465096,88
7467504,42
log,
7511928,-11
7514348,-3
7516776,-15
7519212,-34
7521640,-45
7524068,-34
7526496,-45
7528916,-65
7531336,-61
7533760,-76
log,
7583164,-61
7585592,-57
7588020,-45
7590448,-30
7592888,-11
7595312,-3
7597724,-3
7600120,0
7602512,0
7604936,-11
log,
7660512,-3
7662928,-7
7665352,-19
7667784,-30
7670204,-30
7672620,-34
7675048,-45
7677464,-57
7679888,-57
7682320,-57
log,
7737608,-15
7740012,3
7742440,-3
7744868,-11
7747284,-3
7749684,0
7752100,-15
7754520,-15
7756936,-3
7759336,3
log,
7804260,-57
7806684,-49
7809124,-53
7811560,-53
7813980,-57
7816412,-53
7818836,-57
7821268,-45
7823692,-53
7826116,-49
log,
7876164,-38
7878592,-49
7881024,-53
7883448,-49
7885880,-57
7888312,-53
7890736,-49
7893160,-57
7895580,-61
7898004,-65
log,
7951244,-45
7953672,-49
7956100,-45
7958532,-42
7960960,-53
7963384,-42
7965808,-38
7968228,-42
7970648,-42
7973072,-42
log,
8023048,-49
8025480,-49
8027908,-49
8030336,-57
8032776,-53
8035204,-49
8037632,-45
8040052,-49
8042484,-49
8044908,-57
log,
8094820,-45
8097252,-49
8099676,-45
8102104,-45
8104532,-49
8106964,-49
8109396,-45
8111816,-49
8114244,-61
8116664,-49
log,
8166628,-42
8169056,-38
8171488,-34
8173916,-34
8176344,-34
8178772,-34
8181192,-34
8183612,-30
8186036,-42
8188456,-22
log,
8241828,-30
8244264,-30
8246692,-30
8249120,-30
8251548,-38
8253972,-26
8256392,-34
8258816,-34
8261228,-30
8263664,-30
log,
8313692,-15
8316120,-19
8318548,-22
8320988,-26
8323416,-26
8325844,-19
8328276,-19
8330696,-11
8333112,-19
8335536,-26
log,
8385588,-34
8388008,-34
8390432,-30
8392860,-30
8395284,-34
8397712,-34
8400140,-38
8402556,-38
8404988,-30
8407412,-34
log,
8457456,-22
8459880,-19
8462328,-19
8464760,-19
8467180,-19
8469620,-19
8472052,-30
8474468,-22
8476900,-15
8479316,-22
log,
8532696,-34
8535124,-42
8537548,-45
8539976,-42
8542404,-45
8544832,-38
8547256,-34
8549680,-34
8552100,-38
8554532,-38
log,
8604572,-34
8607008,-34
8609448,-30
8611880,-30
8614300,-34
8616728,-34
8619156,-30
8621576,-34
8624004,-30
8626428,-30
log,
8676452,-45
8678880,-34
8681304,-38
8683732,-49
8686160,-42
8688600,-45
8691028,-34
8693448,-34
8695876,-34
8698296,-34
log,
8748340,-34
8750768,-42
8753212,-42
8755636,-38
8758056,-38
8760496,-45
8762920,-45
8765344,-34
8767772,-38
8770192,-34
log,
8823576,-42
8826004,-42
8828428,-42
8830852,-38
8833280,-42
8835704,-42
8838136,-42
8840560,-34
8842980,-38
8845408,-34
log,
8895448,-34
8897876,-34
8900300,-34
8902736,-30
8905156,-45
8907580,-38
8910016,-34
8912432,-38
8914856,-49
8917284,-34
log,
8967332,-30
8969756,-22
8972184,-30
8974612,-30
8977036,-19
8979488,-22
