LogTest.txt,
14766944,-11
14769400,-7
14771876,-11
14774336,-3
14776792,-3
14779256,-11
14781732,-11
log,
14834512,-7
14836984,-15
14839456,-11
14841944,-11
14844412,-11
14846872,-3
14849348,-11
14851796,-7
14854264,-11
14856716,-3
log,
14910080,-11
14912560,-11
14915016,-7
14917480,-7
14919936,-7
14922392,-7
14924864,-3
14927332,-11
14929800,-11
14932276,-11
log,
14985084,-15
14987548,-7
14990000,-3
14992468,-7
14994932,-7
14997408,-11
14999888,-11
15002352,-11
15004804,-7
15007268,-15
log,
15063368,-11
15065820,-7
15068276,-3
15070732,-7
15073200,-7
15075640,0
15078088,-7
15080548,-7
15082996,-7
15085464,-11
log,
15136020,-7
15138472,-7
15140948,-3
15143400,-3
15145876,-11
15148348,-3
15150816,-15
15153288,-15
15155752,-15
15158220,-15
log,
15211028,-11
15213496,-7
15215972,-19
15218444,-11
15220928,-15
15223396,-15
15225880,-19
15228336,-19
15230800,-15
15233276,-15
log,
15291608,-11
15294076,-15
15296556,-7
15299024,-11
15301496,-11
15303972,-15
15306440,-11
15308912,-19
15311364,-7
15313836,-11
log,
15368332,-11
15370800,-11
15373280,-11
15375752,-11
15378224,-11
15380684,-3
15383136,-3
15385592,-3
15388052,-3
15390500,-7
log,
15443304,-11
15445756,-7
15448236,-11
15450700,-7
15453180,-15
15455644,-7
15458100,-7
15460536,0
15462968,0
15465436,-15
log,
15516476,-15
15518956,-11
15521424,-19
15523888,-3
15526340,-7
15528816,-15
15531300,-11
15533756,-7
15536228,-11
15538680,-7
log,
15595316,-7
15597804,-11
15600280,-15
15602756,-15
15605236,-11
15607708,-15
15610164,-3
15612624,-11
15615100,-15
15617548,-7
log,
15671492,-15
15673960,-7
15676444,-15
15678916,-11
15681392,-11
15683856,-7
15686316,-7
15688776,-3
15691236,-11
15693692,-3
log,
15746512,-11
15748972,-7
15751440,-7
15753916,-15
15756388,-3
15758860,-15
15761324,-7
15763776,-3
15766240,-11
15768704,-19
log,
15821516,-15
15823980,-7
15826448,-15
15828924,-11
15831396,-15
15833868,-11
15836328,-7
15838792,-11
15841272,-11
15843744,-11
log,
15901524,-11
15904012,-11
15906488,-15
15908948,-7
15911420,-15
15913880,-7
15916348,-11
15918812,-15
15921272,-3
15923736,-11
log,
15977688,-15
15980164,-11
15982648,-11
15985124,-11
15987600,-11
15990072,-15
15992532,-7
15994992,-3
15997440,-3
15999912,-11
log,
16053860,-11
16056336,-3
16058792,-3
16061260,-15
16063736,-11
16066216,-11
16068692,-11
16071144,-7
16073596,-3
16076072,-11
log,
16129456,-11
16131908,-3
16134372,-3
16136848,-11
16139320,-7
16141776,-3
16144236,-7
16146704,-11
16149160,-7
16151600,0
log,
16206044,-11
16208520,-15
16211000,-15
16213472,-11
16215932,-7
16218408,-15
16220864,-7
16223304,0
16225764,-15
16228236,-11
log,
16281632,-7
16284096,-15
16286548,-7
16289012,-7
16291480,-11
16293960,-11
16296428,-3
16298892,-11
16301352,-7
16303788,0
log,
16355468,-3
16357924,-7
16360400,-7
16362872,-15
16365340,-11
16367812,-3
16370272,-7
16372732,-3
16375204,-11
16377668,-11
log,
16429920,-7
16432400,-11
16434872,-15
16437336,-7
16439816,-15
16442288,-11
16444760,-11
16447192,0
16449640,3
16452084,-7
log,
16507100,-15
16509552,-7
16512020,-7
16514472,-7
16516928,-7
16519392,-7
16521856,-11
16524316,-7
16526764,-7
16529212,-7
log,
16580332,-3
16582808,-15
16585276,-7
16587752,-11
16590216,-3
16592688,-11
16595148,-7
16597596,-3
16600036,0
16602488,-7
log,
16653632,-15
16656088,-3
16658564,-11
16661020,-7
16663484,-3
16665948,-3
16668408,-3
16670860,-7
16673308,-7
16675764,-3
log,
16726900,-15
16729380,-11
16731852,-3
16734324,-15
16736780,-3
16739240,-3
16741712,-11
16744164,-3
16746616,-7
16749080,-11
log,
16805204,-11
16807640,0
16810096,-3
16812548,-7
16815008,-7
16817484,-11
16819948,-15
16822404,-3
16824852,-7
16827320,-15
log,
16879008,-7
16881472,-11
16883952,-11
16886420,-15
16888896,-15
16891352,-3
16893804,-7
16896272,-15
16898728,-7
16901188,-7
log,
16954008,-11
16956484,-11
16958956,-7
16961416,-7
16963880,-7
16966340,-3
16968808,-3
16971272,-11
16973724,-7
16976180,-3
log,
17027884,-11
17030344,-7
17032816,-11
17035292,-7
17037744,-7
17040212,-15
17042672,-3
17045120,-3
17047580,-3
17050028,-7
log,
17105016,-3
17107492,-11
17109968,-11
17112448,-11
17114912,-7
17117380,-3
17119808,0
17122272,-7
17124728,-3
17127180,-7
log,
17178320,-11
17180784,-3
17183240,-7
17185700,-7
17188172,-11
17190624,-7
17193100,-11
17195564,-11
17198040,-11
17200504,-7
log,
17253324,-7
17255796,-15
17258252,-7
17260716,-7
17263172,-7
17265660,-11
17268124,-3
17270572,-7
17273032,-7
17275480,-7
log,
17326628,-15
17329104,-11
17331576,-7
17334028,-3
17336500,-11
17338956,-3
17341404,0
17343864,-3
17346316,-3
17348776,-7
log,
17403140,-7
17405612,-15
17408096,-15
17410572,-11
17413032,-3
17415504,-15
17417952,-7
17420408,-7
17422856,-7
17425312,-3
log,
17477588,-11
17480072,-11
17482532,-7
17485012,-11
17487480,-11
17489952,-7
17492408,-7
17494872,-15
17497308,0
17499756,-3
log,
17552020,-15
17554504,-11
17556972,-7
17559448,-11
17561928,-11
17564388,-7
17566852,-7
17569312,-11
17571768,-3
17574228,-3
log,
17627064,-15
17629524,-3
17631992,-15
17634476,-15
17636936,-3
17639396,-3
17641876,-11
17644324,-7
17646792,-15
17649244,-7
log,
17705376,-3
17707848,-11
17710300,0
17712732,0
17715212,-15
17717668,-7
17720116,-7
17722584,-11
17725048,-11
17727524,-11
log,
17779232,-11
17781692,-3
17784160,-3
17786636,-19
17789092,-7
17791544,-7
17794028,-11
17796488,-3
17798940,-7
17801396,-3
log,
17853116,-7
17855580,-7
17858056,-11
17860540,-11
17863024,-15
17865496,-11
17867960,-7
17870424,-11
17872904,-11
17875368,-15
log,
17929316,-7
17931776,3
17934248,-11
17936704,-3
17939164,-7
17941640,-11
17944108,-11
17946584,-11
17949044,-7
17951500,-7
log,
18006532,-11
18009008,-11
18011484,-11
18013964,-15
18016452,-11
18018908,-3
18021384,-11
18023840,-7
18026300,-11
18028772,-11
log,
18083284,-7
18085740,-7
18088224,-11
18090704,-11
18093172,-7
18095624,-7
18098084,-7
18100552,-11
18103016,-11
18105492,-11
log,
18158316,-7
18160792,-15
18163252,-7
18165728,-11
18168200,-3
18170668,-11
18173136,-3
18175600,-11
18178080,-15
18180544,-15
log,
18237236,-11
18239700,-7
18242156,-7
18244624,-7
18247092,-11
18249544,-7
18252000,-7
18254448,-7
18256912,-3
18259372,-11
log,
18311080,-7
18313552,-11
18316020,-7
18318500,-15
18320980,-15
18323464,-19
18325932,-15
18328396,-11
18330872,-11
18333320,-7
log,
18387268,-7
18389732,-7
18392208,-11
18394676,-15
18397168,-15
18399636,-3
18402112,-15
18404568,-3
18407028,-11
18409504,-11
log,
18462904,-7
18465368,-15
18467828,-7
18470284,-7
18472744,-19
18475208,-3
18477664,-3
18480136,-11
18482600,-11
18485048,-7
log,
18540632,-7
18543092,-7
18545564,-11
18548028,-3
18550500,-11
18552972,-11
18555436,-11
18557908,-19
18560368,-7
18562824,-3
log,
18615652,-3
18618104,-7
18620564,-3
18623024,-7
18625500,-11
18627972,-15
18630444,-11
18632904,-7
18635352,-7
18637832,-11
log,
18690056,-11
18692520,-15
18694988,-15
18697472,-11
18699932,-3
18702396,-7
18704868,-11
18707340,-11
18709812,-11
18712276,-11
log,
18766744,-11
18769208,-7
18771668,-3
18774144,-11
18776604,-7
18779084,-11
18781528,0
18783976,-7
18786436,-7
18788884,-3
log,
18846032,-3
18848488,-7
18850948,-7
18853416,-11
18855896,-11
18858372,-11
18860840,-11
18863304,-7
18865752,-7
18868212,-3
log,
18920376,-7
18922836,-3
18925292,-7
18927752,-7
18930220,-11
18932696,-11
18935160,-7
18937624,-11
18940100,-11
18942548,-7
log,
18994816,-11
18997292,-7
18999748,-7
19002184,0
19004644,-7
19007104,-19
19009592,-11
19012040,-7
19014500,-15
19016956,-3
log,
19068636,-11
19071116,-11
19073580,-3
19076048,-7
19078508,-3
19080972,-11
19083460,-15
19085908,-7
19088392,-11
19090856,-11
log,
19164080,-7
19166552,-11
19169016,-3
19171488,-15
19173944,-7
19176420,-11
19178900,-11
19181364,-11
19183840,-15
19186292,-7
log,
19250564,-19
19253036,-15
19255512,-11
19257980,-15
19260452,-15
19262916,-15
19265380,-15
19267848,-15
19270312,-15
19272772,-3
log,
19330636,-3
19333104,-3
19335568,-7
19338024,-3
19340468,0
19342928,-7
19345392,-3
19347864,-15
19350312,-7
19352776,-3
log,
19405672,-3
19408144,-7
19410604,-7
19413048,0
19415500,0
19417936,0
19420408,-11
19422860,-7
19425324,-7
19427772,-7
log,
19482768,-7
19485240,-11
19487708,-3
19490180,-19
19492644,-3
19495128,-11
19497576,-3
19500044,-7
19502508,-11
19504972,-11
log,
19560644,-11
19563112,-11
19565600,-15
19568072,-11
19570528,-7
19573004,-11
19575484,-11
19577944,-7
19580396,-7
19582860,-11
log,
19639492,0
19641936,0
19644384,0
19646844,-3
19649308,-3
19651764,0
19654220,-3
19656664,0
19659120,3
19661560,7
log,
19710508,11
19712976,19
19715444,11
19717892,7
19720356,15
19722824,11
19725300,11
19727760,11
19730216,15
19732680,15
log,
19788240,7
19790696,7
19793160,11
19795608,3
19798068,7
19800504,0
19802932,0
19805384,3
19807816,0
19810272,3
log,
19858068,7
19860524,7
19862976,7
19865432,11
19867904,19
19870376,11
19872844,11
19875304,15
19877760,11
19880208,7
log,
19930832,3
19933272,0
19935716,0
19938156,0
19940604,0
19943040,0
19945524,-11
19947972,3
19950404,0
19952860,-7
log,
20001820,-11
20004280,-22
20006740,-7
20009216,-11
20011688,-15
20014164,-15
20016616,-7
20019084,-11
20021560,-15
20024024,-11
log,
20084696,-15
20087172,-11
20089644,-19
20092124,-15
20094576,-7
20097044,-7
20099504,-11
20101956,-3
20104408,-7
20106856,-7
log,
20162524,-3
20164980,0
20167440,-7
20169880,0
20172332,-3
20174804,-7
20177260,0
20179700,3
20182148,3
20184580,0
log,
20234084,3
20236528,0
20238980,-7
20241444,3
20243888,3
20246344,11
20248800,3
20251232,0
20253676,7
20256132,3
log,
20304520,-3
20307008,-11
20309468,0
20311912,0
20314400,-11
20316868,-3
20319332,-7
20321792,-11
20324248,-7
20326684,0
log,
20382856,-7
20385328,-15
20387800,-3
20390276,-11
20392752,-11
20395228,-19
20397692,-15
20400172,-15
20402636,-11
20405100,-15
log,
20462460,-3
20464908,0
20467368,3
20469832,-3
20472296,-7
20474764,-7
20477208,0
20479664,-3
20482128,-3
20484584,-7
log,
20535780,3
20538232,0
20540684,7
20543132,0
20545596,3
20548032,0
20550484,3
20552928,7
20555360,0
20557796,0
log,
20605044,0
20607500,-3
20609964,3
20612424,-3
20614876,-3
20617336,3
20619768,0
20622204,0
20624636,0
20627084,3
log,
20679352,-22
20681828,-11
20684304,-19
20686772,-26
20689244,-22
20691712,-26
20694176,-22
20696640,-22
20699116,-15
20701592,-15
log,
20760076,26
20762544,22
20765008,22
20767468,19
20769920,7
20772376,15
20774840,19
20777300,19
20779752,11
20782212,11
log,
20834524,7
20836968,3
20839440,11
20841884,7
20844320,0
20846772,3
20849228,11
20851684,3
20854144,11
20856584,7
log,
20905528,0
20907988,-3
20910460,-7
20912900,0
20915344,0
20917792,-3
20920232,0
20922672,0
20925120,-3
20927572,-7
log,
20980948,-11
20983408,-7
20985872,-7
20988320,-7
20990796,-11
20993256,-7
20995720,-11
20998192,-15
21000656,-15
21003112,-7
log,
21058792,-11
21061228,0
21063688,7
21066136,3
21068588,3
21071048,-3
21073500,3
21075952,7
21078392,0
21080836,7
log,
21129784,0
21132244,-3
21134688,0
21137120,0
21139564,0
21142012,3
21144460,0
21146912,3
21149356,3
21151804,7
log,
21199636,-3
21202112,-11
21204572,-3
21207052,-11
21209504,-3
21211956,-3
21214420,-3
21216852,0
21219308,-7
21221768,-3
log,
21278544,-19
21281028,-11
21283496,-11
21285972,-15
21288448,-15
21290920,-11
21293392,-11
21295856,-15
21298328,-11
21300792,-11
log,
21359284,11
21361752,11
21364212,19
21366672,15
21369136,19
21371600,22
21374064,19
21376516,15
21378976,19
21381436,19
log,
21434320,3
21436784,11
21439252,19
21441708,7
21444168,7
21446616,0
21449072,3
21451528,-3
21453964,0
21456404,3
log,
21505368,-7
21507844,-11
21510304,-3
21512780,-11
21515248,-7
21517704,-3
21520172,-15
21522648,-11
21525096,-3
21527564,-7
log,
21586004,-19
21588472,-15
21590948,-15
21593428,-11
21595892,-19
21598368,-19
21600832,-22
21603308,-15
21605776,-22
21608240,-15
log,
21666752,-3
21669188,0
21671636,3
21674100,-3
21676576,-11
21679016,0
21681460,0
21683888,0
21686336,3
21688768,0
log,
21738288,11
21740748,3
21743196,3
21745640,0
21748092,7
21750536,7
21752984,7
21755428,3
21757876,3
21760332,11
log,
21808728,7
21811172,0
21813640,3
21816076,0
21818536,-3
21820976,0
21823436,-7
21825872,0
21828320,-3
21830756,0
log,
21879732,-3
21882208,-11
21884676,-11
21887128,0
21889592,-11
21892056,-7
21894520,-7
21896984,-15
21899460,-11
21901908,-3
log,
21960368,-7
21962824,-7
21965276,-3
21967740,-7
21970212,-11
21972672,-7
21975112,0
21977548,0
21979996,-7
21982456,-3
log,
22034780,0
22037212,0
22039668,-7
22042128,-7
22044592,-3
22047036,0
22049488,-3
22051940,3
22054368,0
22056816,-3
log,
22106892,0
22109352,-7
22111800,0
22114248,0
22116728,-7
22119172,0
22121628,3
22124084,-3
22126532,3
22128988,-7
log,
22178520,-3
22180980,-7
22183436,-3
22185892,3
22188344,0
22190792,3
22193256,-3
22195704,-7
22198160,-3
22200632,-15
log,
22255724,-3
22258176,-7
22260628,0
22263068,0
22265516,0
22267976,-3
22270420,0
22272872,3
22275324,-3
22277780,-3
log,
22327864,0
22330344,-11
22332808,3
22335248,0
22337704,7
22340156,7
22342612,3
22345068,19
22347508,7
22349968,11
log,
22399512,-11
22401988,-15
22404464,-15
22406940,-15
22409412,-15
22411880,-15
22414364,-15
22416828,-15
22419288,-11
22421744,-7
log,
22479684,-7
22482120,0
22484576,-3
22487044,0
22489480,0
22491932,3
22494380,0
22496828,-3
22499280,3
22501716,0
log,
22554036,-19
22556512,-15
22558968,-7
22561448,-15
22563928,-11
22566384,-3
22568824,0
22571260,0
22573700,3
22576156,3
log,
22629044,-19
22631528,-15
22633996,-15
22636468,-19
22638948,-15
22641420,-15
22643892,-11
22646360,-15
22648820,-7
22651276,-7
log,
22708672,-3
22711128,-7
22713592,-3
22716060,-7
22718532,-3
22720988,-3
22723428,0
22725892,-15
22728340,3
22730780,0
log,
22782580,-11
22785060,-3
22787512,-7
22789980,-15
22792448,-3
22794904,-3
22797348,0
22799784,0
22802232,-3
22804664,0
log,
22860316,-15
22862792,-11
22865272,-19
22867736,-19
22870212,-15
22872676,-19
22875160,-15
22877628,-15
22880092,-15
22882564,-11
log,
22941084,-11
22943540,-3
22946012,-11
22948484,-11
22950968,-11
22953428,-7
22955884,-7
22958336,-7
22960792,-3
22963268,-11
log,
23018968,-7
23021408,0
23023884,-7
23026336,3
23028784,0
23031240,-3
23033680,0
23036136,-7
23038568,0
23041012,0
log,
23090564,-11
23093036,-11
23095512,-15
23097984,-11
23100464,-15
23102936,-11
23105408,-11
23107880,-11
23110336,-7
23112800,-19
log,
23174048,-3
23176528,-11
23178984,-7
23181456,-15
23183924,-15
23186388,-7
23188864,-11
23191312,-7
23193792,-11
23196256,-15
log,
23252516,0
23254956,0
23257432,-11
23259900,-3
23262364,-7
23264800,0
23267276,-11
23269712,0
23272176,-11
23274632,-3
log,
23326972,-3
23329452,-11
23331920,-3
23334376,-7
23336844,-7
23339320,-7
23341772,-7
23344232,-3
23346680,-3
23349156,-11
log,
23403176,-11
23405652,-3
23408116,-7
23410576,-7
23413032,-7
23415512,-15
23417988,-11
23420452,-15
23422932,-15
23425400,-7
log,
23484404,0
23486852,0
23489308,-3
23491792,-15
23494232,0
23496696,-3
23499152,-7
23501616,-19
23504072,-7
23506524,-3
log,
23558876,-7
23561336,-3
23563772,0
23566224,0
23568692,-7
23571144,-3
23573612,-7
23576060,-7
23578516,-7
23580972,-7
log,
23632772,-3
23635252,-7
23637704,-7
23640180,-11
23642640,-3
23645104,-3
23647568,-7
23650016,-7
23652468,-7
23654920,-7
log,
23708360,0
23710804,0
23713252,0
23715708,-3
23718176,-3
23720644,-3
23723104,3
23725552,-7
23728012,-7
23730484,-11
log,
23788860,3
23791304,0
23793748,0
23796200,0
23798652,-3
23801108,-3
23803564,-3
23806024,-3
23808472,-3
23810924,-3
log,
23861552,0
23864000,-3
23866464,-7
23868924,-7
23871384,-7
23873848,-3
23876308,-3
23878748,0
23881176,0
23883628,-7
log,
23934828,-3
23937300,-7
23939756,-3
23942204,0
23944664,3
23947108,0
23949572,-7
23952008,0
23954468,-3
23956920,-7
log,
24007576,-3
24010044,-3
24012496,-3
24014944,0
24017376,0
24019836,-3
24022284,0
24024720,0
24027180,-3
24029612,0
log,
24083000,-3
24085488,-15
24087956,-7
24090408,-3
24092860,0
24095312,-7
24097772,-7
24100232,-3
24102688,-7
24105140,-7
log,
24157992,-3
24160448,0
24162880,0
24165352,-3
24167824,-3
24170276,-7
24172740,-7
24175168,0
24177632,-7
24180072,0
log,
24230712,-3
24233168,3
24235624,-7
24238104,-7
24240564,-3
24242996,0
24245468,-3
24247916,-3
24250356,0
24252816,-3
log,
24304016,-7
24306480,-7
24308956,-11
24311416,-7
24313888,-7
24316344,-3
24318800,-3
24321260,-3
24323708,-7
24326168,-3
log,
24382880,-7
24385348,-15
24387820,-7
24390272,-3
24392756,-11
24395224,-7
24397652,0
24400112,-3
24402560,-3
24405020,-3
log,
24458444,-3
24460900,-3
24463372,-7
24465824,-7
24468260,0
24470732,-7
24473188,-3
24475656,-7
24478092,0
24480544,-3
log,
24532304,-7
24534764,-7
24537216,0
24539672,-3
24542160,-11
24544628,-7
24547088,-3
24549548,3
24551984,0
24554444,-3
log,
24606212,-7
24608684,-11
24611144,-7
24613596,-3
24616064,-7
24618532,-11
24620996,-7
24623452,-7
24625908,-7
24628360,-7
log,
24685632,0
24688100,-11
24690556,-3
24693004,0
24695476,-11
24697940,-7
24700396,-3
24702828,0
24705284,-3
24707748,-11
log,
24760620,-7
24763096,-11
24765548,0
24768000,-7
24770464,-3
24772940,-11
24775392,-3
24777852,-7
24780316,-11
24782776,-7
log,
24836764,-7
24839240,-3
24841700,-3
24844156,-3
24846644,-11
24849104,-3
24851548,0
24853996,-3
24856460,-11
24858920,-3
log,
24912364,-3
24914824,-3
24917288,-3
24919728,0
24922192,-7
24924660,-3
24927120,-3
24929580,-3
24932032,-7
24934500,-11
log,
25005508,3
25007940,0
25010396,-7
25012844,-3
25015284,0
25017744,-3
25020192,-3
25022652,-7
25025080,0
25027524,0
log,
25077964,-15
25080428,-11
25082908,-11
25085368,-3
25087828,-7
25090292,-7
25092744,-7
25095184,0
25097636,-7
25100084,-3
log,
25154072,0
25156536,-3
25159000,-3
25161464,-7
25163928,-7
25166392,-3
25168860,-7
25171296,0
25173748,-7
25176208,-3
log,
25227976,-3
25230440,-3
25232896,-3
25235360,-3
25237820,-3
25240260,0
25242732,-7
25245180,-3
25247620,0
25250084,-7
log,
25305100,-3
25307560,-3
25310016,-3
25312484,-3
25314916,0
25317364,0
25319836,-11
25322288,-3
25324728,0
25327160,0
log,
25378300,-7
25380744,0
25383212,-3
25385676,-3
25388136,-3
25390596,-7
25393056,-3
25395516,-3
25397980,-11
25400440,-3
log,
25453252,-7
25455724,-3
25458164,0
25460624,-7
25463092,-7
25465528,0
25467988,-7
25470456,-11
25472896,0
25475356,-3
log,
25527100,0
25529540,0
25531996,-7
25534472,-3
25536932,-7
25539392,-7
25541856,-7
25544308,-3
25546748,0
25549220,-11
log,
25604220,-3
25606676,-7
25609140,-3
25611596,-7
25614032,0
25616488,-3
25618920,0
25621372,-3
25623832,-3
25626284,-3
log,
25678068,-3
25680500,0
25682948,0
25685400,-7
25687840,0
25690296,-7
25692752,-3
25695212,-3
25697672,-3
25700140,-11
log,
25751928,-3
25754380,-3
25756820,0
25759272,-3
25761740,-3
25764212,-3
25766668,-7
25769104,0
25771532,0
25773968,0
log,
25824604,0
25827076,-11
25829532,-7
25831984,0
25834452,-7
25836892,0
25839352,-7
25841792,0
25844240,-7
25846692,-7
log,
25901180,-7
25903640,-7
25906104,-7
25908572,-3
25911008,0
25913452,0
25915880,0
25918336,-3
25920792,-3
25923244,-3
log,
25974464,-3
25976920,-7
25979360,0
25981820,-3
25984312,-11
25986768,-3
25989208,0
25991660,-3
25994108,-3
25996584,-11
log,
26049476,-3
26051944,-7
26054412,-3
26056896,-11
26059352,-3
26061816,3
26064276,-7
26066724,-7
26069164,0
26071612,-3
log,
26123948,-7
26126420,-3
26128888,-11
26131344,-7
26133796,0
26136252,-7
26138716,-3
26141144,0
26143596,-3
26146056,-7
log,
26201688,-3
26204152,-3
26206620,-3
26209084,-7
26211548,-3
26213988,0
26216456,-3
26218908,-3
26221356,-7
26223816,-7
log,
26276152,-7
26278616,-7
26281072,-3
26283524,-7
26285980,0
26288436,-7
26290908,-11
26293344,0
26295792,-3
26298248,-3
log,
26350580,-7
26353032,0
26355484,-7
26357948,-3
26360400,3
26362864,-7
26365308,0
26367756,-7
26370216,-3
26372664,-3
log,
26423888,-7
26426348,-3
26428796,0
26431236,0
26433700,-3
26436152,-7
26438620,-3
26441080,-3
26443532,-3
26445984,-7
log,
26501068,-3
26503508,0
26505960,-7
26508416,-3
26510856,0
26513316,-7
26515772,-7
26518200,0
26520648,0
26523108,-11
log,
26574340,-3
26576796,-7
26579260,-3
26581692,0
26584152,0
26586584,0
26589036,-3
26591492,-3
26593944,-3
26596404,-7
log,
26647624,-7
26650076,-3
26652516,0
26654960,0
26657416,-3
26659880,-3
26662332,-3
26664780,-3
26667236,-7
26669696,-11
log,
26722040,-7
26724504,-3
26726964,-3
26729408,0
26731892,-11
26734352,-3
26736816,-3
26739272,-3
26741712,0
26744184,-15
log,
26800404,-7
26802860,-3
26805340,-3
26807804,-11
26810244,0
26812708,-3
26815164,-3
26817624,-7
26820076,-7
26822524,-7
log,
26875412,-3
26877876,-7
26880332,0
26882784,-7
26885240,-3
26887676,0
26890112,0
26892564,-3
26895020,-3
26897476,-3
log,
26948688,0
26951144,-7
26953604,-3
26956048,0
26958516,-3
26960956,0
26963428,-11
26965880,-7
26968340,-7
26970796,-7
log,
27022516,-3
27024980,-3
27027424,0
27029880,0
27032336,-7
27034804,-7
27037256,-7
27039716,-3
27042172,-7
27044608,0
log,
27095844,-3
27098320,-11
27100776,-3
27103228,0
27105668,0
27108144,-11
27110588,0
27113036,-3
27115500,-7
27117964,-3
log,
27173596,-3
27176040,0
27178496,-7
27180956,-3
27183400,0
27185852,3
27188304,3
27190740,0
27193192,-7
27195668,-15
log,
27246332,-7
27248796,-3
27251252,-3
27253700,0
27256160,-7
27258612,3
27261056,0
27263504,-3
27265960,-7
27268428,-11
log,
27320212,-3
27322696,-11
27325148,-7
27327612,-3
27330072,-7
27332548,-11
27335008,-3
27337464,-3
27339920,-7
27342372,-3
log,
27396376,0
27398852,-11
27401316,-3
27403752,0
27406212,-3
27408652,0
27411132,-11
27413580,0
27416028,-3
27418476,-7
log,
27473580,-11
27476048,-3
27478512,-3
27480980,-3
27483444,-3
27485896,-7
27488356,-7
27490820,-11
27493292,-11
27495752,-3
log,
27550344,-3
27552812,-7
27555264,-7
27557724,-3
27560184,-3
27562648,-7
27565108,0
27567560,-3
27570008,-3
27572460,-7
log,
27624788,0
27627244,-3
27629704,-3
27632156,-3
27634624,-7
27637088,-3
27639536,0
27641992,-7
27644436,3
27646888,-3
log,
27698148,-3
27700624,-3
27703076,-7
27705540,3
27707996,-7
27710480,-11
27712936,-3
27715388,-3
27717840,-7
27720272,0
log,
27775924,-3
27778388,-3
27780840,-3
27783304,-7
27785760,-7
27788220,-3
27790660,0
27793108,-3
27795568,-7
27798016,-3
log,
27850360,-7
27852832,-3
27855268,0
27857716,-3
27860180,-7
27862612,0
27865076,-7
27867528,-7
27869984,-3
27872436,-3
log,
27924224,-3
27926692,-7
27929144,-3
27931616,-3
27934108,-11
27936568,-3
27939040,-11
27941488,-3
27943948,-7
27946400,-7
log,
28000424,-3
28002880,-3
28005352,3
28007816,-3
28010260,0
28012744,-11
28015196,-7
28017656,-3
28020124,-11
28022572,-7
log,
28078784,0
28081252,-7
28083704,0
28086168,-3
28088628,-7
28091068,0
28093528,-3
28095992,-11
28098452,-7
28100912,-3
log,
28152704,-3
28155176,-7
28157632,-3
28160104,-3
28162544,0
28165000,-3
28167464,-3
28169920,-3
28172388,-11
28174836,-3
log,
28227724,0
28230180,-3
28232656,-3
28235092,0
28237532,0
28239992,-7
28242440,3
28244896,-7
28247352,-3
28249812,-11
log,
28301052,-3
28303516,-3
28305992,-11
28308456,-3
28310928,-3
28313380,-7
28315848,-7
28318296,-3
28320756,-3
28323204,3
log,
28379432,-3
28381888,-7
28384356,3
28386808,-7
28389264,-7
28391728,-3
28394176,-3
28396644,-3
28399092,-3
28401564,-15
log,
28454480,-3
28456948,-3
28459412,-3
28461876,-3
28464336,-3
28466784,3
28469260,-3
28471692,0
28474140,-7
28476600,-3
log,
28528404,0
28530868,-7
28533320,-7
28535780,0
28538260,-3
28540692,0
28543156,-3
28545612,-3
28548072,-7
28550524,-3
log,
28601768,-3
28604220,-7
28606684,-3
28609156,-11
28611632,-3
28614088,-7
28616544,-3
28619004,-3
28621464,-7
28623924,-3
log,
28684552,-7
28687028,-11
28689492,-7
28691948,-3
28694404,-3
28696872,-11
28699308,0
28701764,-7
28704204,0
28706648,-7
log,
28759532,-7
28761996,-3
28764460,-3
28766916,-3
28769388,-3
28771852,-3
28774316,-7
28776788,-11
28779240,-3
28781696,-7
log,
28835116,0
28837552,0
28840020,-3
28842472,-3
28844932,-7
28847408,-3
28849860,-7
28852312,-3
28854744,0
28857172,0
log,
28907824,-7
28910288,-11
28912728,0
28915168,0
28917628,-3
28920112,-11
28922568,-7
28925012,0
28927464,-3
28929920,-3
log,
28985524,-3
28987976,-7
28990452,-3
28992908,-7
28995340,0
28997800,-7
29000248,-3
29002704,-7
29005136,0
29007568,0
log,
29058768,-3
29061224,0
29063676,-3
29066140,3
29068624,-11
29071076,-7
29073540,-3
29075988,-3
29078448,-7
29080900,-7
log,
29133220,-3
29135688,-11
29138144,-3
29140600,-3
29143076,-3
29145532,-7
29147992,-7
29150448,-7
29152880,0
29155344,-7
log,
29208200,-11
29210668,-7
29213120,-7
29215568,3
29218032,-7
29220488,-3
29222952,-7
29225400,-3
29227848,-3
29230300,-7
log,
29286464,-3
29288920,-3
29291372,-7
29293832,-7
29296284,-3
29298756,-3
29301208,-7
29303660,-3
29306132,-11
29308568,0
log,
29361416,0
29363888,-3
29366356,-7
29368816,-3
29371276,3
29373736,3
29376172,0
29378628,-3
29381080,-7
29383532,-3
log,
29434176,-3
29436628,3
29439104,-11
29441568,-3
29444036,-3
29446496,-3
29448964,-11
29451420,-7
29453876,-3
29456340,-3
log,
29509772,-7
29512224,-7
29514696,-3
29517152,-3
29519588,0
29522056,-7
29524504,3
29526940,0
29529412,-11
29531864,-3
log,
29586892,0
29589340,3
29591780,0
29594224,0
29596692,-3
29599132,0
29601580,-7
29604040,-7
29606488,-3
29608948,-3
log,
29659004,-7
29661468,-7
29663920,-3
29666368,0
29668824,-7
29671276,-3
29673756,-11
29676204,3
29678660,-3
29681100,0
