myTest.txt			freq	dt		
667184	-191		348.6750349	0.002868		-1.91
670048	-114		349.1620112	0.002864		-1.14
672920	-191		348.189415	0.002872		-1.91
675780	-153		349.6503497	0.00286		-1.53
678652	-229		348.189415	0.002872		-2.29
681516	-191		349.1620112	0.002864		-1.91
684384	-191		348.6750349	0.002868		-1.91
687252	-191		348.6750349	0.002868		-1.91
690128	-229		347.705146	0.002876		-2.29
692996	-191		348.6750349	0.002868		-1.91
695864	-153		348.6750349	0.002868		-1.53
698736	-191		348.189415	0.002872		-1.91
701604	-153		348.6750349	0.002868		-1.53
704468	-191		349.1620112	0.002864		-1.91
707332	-191		349.1620112	0.002864		-1.91
710200	-191		348.6750349	0.002868		-1.91
713068	-191		348.6750349	0.002868		-1.91
715936	-153		348.6750349	0.002868		-1.53
718808	-153		348.189415	0.002872		-1.53
723492	-191		213.4927412	0.004684		-1.91
726360	-229		348.6750349	0.002868		-2.29
729236	-153		347.705146	0.002876		-1.53
732108	-191		348.189415	0.002872		-1.91
734980	-153		348.189415	0.002872		-1.53
737848	-153		348.6750349	0.002868		-1.53
740712	-153		349.1620112	0.002864		-1.53
743580	-153		348.6750349	0.002868		-1.53
746448	-153		348.6750349	0.002868		-1.53
749320	-191		348.189415	0.002872		-1.91
752188	-191		348.6750349	0.002868		-1.91
755056	-229		348.6750349	0.002868		-2.29
757924	-191		348.6750349	0.002868		-1.91
760796	-153		348.189415	0.002872		-1.53
763664	-191		348.6750349	0.002868		-1.91
766532	-153		348.6750349	0.002868		-1.53
769400	-153		348.6750349	0.002868		-1.53
772264	-229		349.1620112	0.002864		-2.29
775136	-191		348.189415	0.002872		-1.91
778004	-191		348.6750349	0.002868		-1.91
780872	-191		348.6750349	0.002868		-1.91
783736	-191		349.1620112	0.002864		-1.91
786604	-229		348.6750349	0.002868		-2.29
789476	-191		348.189415	0.002872		-1.91
792344	-191		348.6750349	0.002868		-1.91
795212	-191		348.6750349	0.002868		-1.91
798080	-191		348.6750349	0.002868		-1.91
800948	-153		348.6750349	0.002868		-1.53
803812	-191		349.1620112	0.002864		-1.91
806684	-153		348.189415	0.002872		-1.53
809548	-153		349.1620112	0.002864		-1.53
812416	-191		348.6750349	0.002868		-1.91
815284	-153		348.6750349	0.002868		-1.53
818152	-153		348.6750349	0.002868		-1.53
821024	-153		348.189415	0.002872		-1.53
823888	-153		349.1620112	0.002864		-1.53
828572	-191		213.4927412	0.004684		-1.91
831440	-153		348.6750349	0.002868		-1.53
834308	-191		348.6750349	0.002868		-1.91
837172	-153		349.1620112	0.002864		-1.53
840036	-153		349.1620112	0.002864		-1.53
