-----OpenSourceQuad-----

Date: Mar 20 2014
Time: 19:08:20
Software version: 0.85
Flight Number: 1046
Runtime data: 


9112648,-2.19,-5.48
9123056,-2.14,-5.48
9133420,-2.10,-5.48
9143816,-2.05,-0.97
9154180,-2.00,-0.97
9164480,-1.95,-0.97
9174748,-1.89,-0.97
9185016,-1.84,-5.09
9195268,-1.78,-5.09
9205592,-1.73,-5.09
9215852,-1.68,-5.09
9226236,-1.63,-1.72
9236608,-1.58,-1.72
9246952,-1.54,-1.72
9257484,-1.50,1.83
9271124,-1.47,1.86
9281468,-1.43,1.86
9291836,-1.40,1.86
9302172,-1.38,0.27
9312416,-1.36,0.27
9322796,-1.34,0.27
9333100,-1.32,0.27
9343396,-1.31,1.15
9353676,-1.30,1.15
9364188,-1.29,1.15
9374476,-1.27,4.74
9384704,-1.26,4.74
9394936,-1.24,4.74
9405276,-1.22,4.74
9415608,-1.20,-1.05
9425988,-1.17,-1.05
9436352,-1.14,-1.05
9446720,-1.10,-1.05
9457064,-1.07,-4.59
9467372,-1.03,-4.59
9477672,-0.98,-4.59
9488040,-0.94,-4.59
9498432,-0.89,-8.25
9508776,-0.85,-8.25
9519128,-0.80,-8.25
9532796,-0.75,-4.24
9543144,-0.72,-4.24
9553476,-0.68,-4.24
9563788,-0.65,-4.24
9574108,-0.62,2.82
9584380,-0.60,2.82
9594708,-0.59,2.82
9605052,-0.58,2.82
9615376,-0.58,-1.36
9625692,-0.59,-1.36
9636012,-0.60,-1.36
9646400,-0.61,6.58
9656700,-0.64,6.58
9666988,-0.67,6.58
9677220,-0.69,6.58
9687560,-0.74,-13.53
9697952,-0.77,-13.53
9708296,-0.82,-13.53
9718680,-0.87,-13.53
9729088,-0.91,-2.68
9739424,-0.97,-2.68
9749760,-1.03,-2.68
9760124,-1.08,-2.68
9770500,-1.14,-1.72
9784156,-1.20,-1.72
9794576,-1.26,-1.72
9804960,-1.31,3.89
9815260,-1.37,3.89
9825608,-1.43,3.89
9835948,-1.49,3.89
9846276,-1.56,-3.63
9856608,-1.62,-3.63
9866996,-1.68,-3.63
9877348,-1.74,-5.76
9887652,-1.80,-5.76
9897928,-1.85,-5.76
9908332,-1.91,-5.76
9918624,-1.97,-8.96
9929028,-2.03,-8.96
9939396,-2.08,-8.96
9949752,-2.14,-8.96
